city;city_ibge_code;confirmed;confirmed_per_100k_inhabitants;date;death_rate;deaths;estimated_population_2019;is_last;order_for_place;place_type;state
Cardoso Moreira;3301157;    41; 319,73797;2020-06-13;0,0000;   0;   12823;FALSE; 37;city;RJ
Carmo;3301207;    35; 185,23419;2020-06-13;0,0571;   2;   18895;FALSE; 43;city;RJ
Casimiro de Abreu;3301306;   240; 543,18305;2020-06-13;0,0292;   7;   44184;FALSE; 68;city;RJ
Comendador Levy Gasparian;3300951;    22; 256,97932;2020-06-13;0,0000;   0;    8561;FALSE; 27;city;RJ
ConceiÃ§Ã£o de Macabu;3301405;   115; 495,09213;2020-06-13;0,0087;   1;   23228;FALSE; 53;city;RJ
Cordeiro;3301504;    46; 209,79659;2020-06-13;0,0000;   0;   21926;FALSE; 49;city;RJ
Duas Barras;3301603;     5;  43,50853;2020-06-13;0,0000;   0;   11492;FALSE; 18;city;RJ
Duque de Caxias;3301702;  2165; 235,42947;2020-06-13;0,1561; 338;  919596;FALSE; 82;city;RJ
Engenheiro Paulo de Frontin;3301801;    24; 171,40409;2020-06-13;0,0833;   2;   14002;FALSE; 40;city;RJ
Guapimirim;3301850;   535; 884,04911;2020-06-13;0,0523;  28;   60517;FALSE; 87;city;RJ
Iguaba Grande;3301876;   111; 392,08760;2020-06-13;0,1712;  19;   28310;FALSE; 72;city;RJ
Importados/Indefinidos;NA;     0;NA;2020-06-13;0,0000;   0;NA;FALSE; 85;city;RJ
ItaboraÃ­;3301900;  1707; 709,49990;2020-06-13;0,0609; 104;  240592;FALSE; 79;city;RJ
ItaguaÃ­;3302007;   860; 646,52418;2020-06-13;0,0686;  59;  133019;FALSE; 73;city;RJ
Italva;3302056;   100; 657,59190;2020-06-13;0,0300;   3;   15207;FALSE; 48;city;RJ
Itaocara;3302106;    67; 288,37049;2020-06-13;0,0597;   4;   23234;FALSE; 44;city;RJ
Itaperuna;3302205;   316; 306,13036;2020-06-13;0,0032;   1;  103224;FALSE; 70;city;RJ
Itatiaia;3302254;    12;  37,72992;2020-06-13;0,0000;   0;   31805;FALSE; 65;city;RJ
Japeri;3302270;   126; 120,26573;2020-06-13;0,1111;  14;  104768;FALSE; 68;city;RJ
Laje do MuriaÃ©;3302304;    68; 924,54113;2020-06-13;0,0000;   0;    7355;FALSE; 34;city;RJ
MacaÃ©;3302403;  1473; 573,88418;2020-06-13;0,0339;  50;  256672;FALSE; 75;city;RJ
Macuco;3302452;     4;  71,44133;2020-06-13;0,0000;   0;    5599;FALSE; 52;city;RJ
MagÃ©;3302502;  1168; 476,59658;2020-06-13;0,0959; 112;  245071;FALSE; 73;city;RJ
Mangaratiba;3302601;   180; 404,78546;2020-06-13;0,0389;   7;   44468;FALSE; 78;city;RJ
MaricÃ¡;3302700;   794; 492,53444;2020-06-13;0,0504;  40;  161207;FALSE; 77;city;RJ
Mendes;3302809;    41; 220,26432;2020-06-13;0,0488;   2;   18614;FALSE; 60;city;RJ
Mesquita;3302858;   534; 303,23163;2020-06-13;0,1610;  86;  176103;FALSE; 73;city;RJ
Miguel Pereira;3302908;    34; 133,13494;2020-06-13;0,0882;   3;   25538;FALSE; 86;city;RJ
Miracema;3303005;    62; 228,15927;2020-06-13;0,0000;   0;   27174;FALSE; 45;city;RJ
Natividade;3303104;    66; 430,89378;2020-06-13;0,0152;   1;   15317;FALSE; 37;city;RJ
NilÃ³polis;3303203;   481; 296,02733;2020-06-13;0,1143;  55;  162485;FALSE; 72;city;RJ
NiterÃ³i;3303302;  4515; 879,11617;2020-06-13;0,0323; 146;  513584;FALSE; 90;city;RJ
Nova Friburgo;3303401;   290; 152,12636;2020-06-13;0,0931;  27;  190631;FALSE; 71;city;RJ
Nova IguaÃ§u;3303500;  2541; 309,45236;2020-06-13;0,1078; 274;  821128;FALSE; 78;city;RJ
Paracambi;3303609;   304; 581,74025;2020-06-13;0,0592;  18;   52257;FALSE; 65;city;RJ
ParaÃ­ba do Sul;3303708;   184; 415,49057;2020-06-13;0,0380;   7;   44285;FALSE; 71;city;RJ
Paraty;3303807;   143; 331,28692;2020-06-13;0,0490;   7;   43165;FALSE; 66;city;RJ
Paty do Alferes;3303856;    32; 115,23641;2020-06-13;0,1250;   4;   27769;FALSE; 66;city;RJ
PetrÃ³polis;3303906;   667; 217,83789;2020-06-13;0,0960;  64;  306191;FALSE; 85;city;RJ
Pinheiral;3303955;    83; 329,94117;2020-06-13;0,0120;   1;   25156;FALSE; 57;city;RJ
PiraÃ­;3304003;   150; 512,34758;2020-06-13;0,0400;   6;   29277;FALSE; 63;city;RJ
PorciÃºncula;3304102;    53; 281,21186;2020-06-13;0,0189;   1;   18847;FALSE; 72;city;RJ
